TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE,NOMINAL
USD,2013-03-05,,,,30.787,,,1
USD,2013-03-06,,,,30.6963,,,1
USD,2013-03-07,,,,30.6214,,,1
USD,2013-03-08,,,,30.7628,,,1
USD,2013-03-12,,,,30.7576,,,1
USD,2013-03-13,,,,30.7499,,,1
USD,2013-03-14,,,,30.7209,,,1
USD,2013-03-15,,,,30.7769,,,1
USD,2013-03-16,,,,30.7196,,,1
USD,2013-03-19,,,,30.8908,,,1
USD,2013-03-20,,,,30.8285,,,1
USD,2013-03-21,,,,30.9446,,,1
USD,2013-03-22,,,,30.8923,,,1
USD,2013-03-23,,,,30.9325,,,1
USD,2013-03-26,,,,30.7585,,,1
USD,2013-03-27,,,,30.8734,,,1
USD,2013-03-28,,,,30.863,,,1
USD,2013-03-29,,,,30.9962,,,1
USD,2013-03-30,,,,31.0834,,,1
USD,2013-04-02,,,,31.1093,,,1
USD,2013-04-03,,,,31.1178,,,1
USD,2013-04-04,,,,31.3918,,,1
USD,2013-04-05,,,,31.7203,,,1
USD,2013-04-06,,,,31.6207,,,1
USD,2013-04-09,,,,31.6144,,,1
USD,2013-04-10,,,,31.2086,,,1
USD,2013-04-11,,,,31.0036,,,1
USD,2013-04-12,,,,30.8814,,,1
USD,2013-04-13,,,,30.9308,,,1
USD,2013-04-16,,,,31.3051,,,1
USD,2013-04-17,,,,31.4512,,,1
USD,2013-04-18,,,,31.232,,,1
USD,2013-04-19,,,,31.7151,,,1
USD,2013-04-20,,,,31.4605,,,1
USD,2013-04-23,,,,31.5664,,,1
USD,2013-04-24,,,,31.6414,,,1
USD,2013-04-25,,,,31.5917,,,1
USD,2013-04-26,,,,31.3169,,,1
USD,2013-04-27,,,,31.2196,,,1
USD,2013-04-30,,,,31.2559,,,1
USD,2013-05-01,,,,31.0433,,,1
USD,2013-05-07,,,,31.0839,,,1
USD,2013-05-08,,,,31.0789,,,1
USD,2013-05-09,,,,31.0829,,,1
USD,2013-05-14,,,,31.3777,,,1
USD,2013-05-15,,,,31.2778,,,1
USD,2013-05-16,,,,31.4281,,,1
USD,2013-05-17,,,,31.4166,,,1
USD,2013-05-18,,,,31.3931,,,1
USD,2013-05-21,,,,31.3406,,,1
USD,2013-05-22,,,,31.177,,,1
USD,2013-05-23,,,,31.228,,,1
USD,2013-05-24,,,,31.4711,,,1
USD,2013-05-25,,,,31.3164,,,1
USD,2013-05-28,,,,31.3025,,,1
USD,2013-05-29,,,,31.3784,,,1
USD,2013-05-30,,,,31.5203,,,1
USD,2013-05-31,,,,31.5893,,,1
USD,2013-06-01,,,,31.7979,,,1
USD,2013-06-04,,,,32.0487,,,1
USD,2013-06-05,,,,31.8344,,,1
USD,2013-06-06,,,,31.9816,,,1
USD,2013-06-07,,,,32.1385,,,1
USD,2013-06-08,,,,32.2397,,,1
USD,2013-06-11,,,,32.3246,,,1
USD,2013-06-12,,,,32.3951,,,1
USD,2013-06-14,,,,32.3467,,,1
USD,2013-06-15,,,,31.8029,,,1
USD,2013-06-18,,,,31.679,,,1
USD,2013-06-19,,,,31.8824,,,1
USD,2013-06-20,,,,32.1201,,,1
USD,2013-06-21,,,,32.7041,,,1
USD,2013-06-22,,,,32.7433,,,1
USD,2013-06-25,,,,32.9097,,,1
USD,2013-06-26,,,,32.714,,,1
USD,2013-06-27,,,,32.8876,,,1
USD,2013-06-28,,,,32.8766,,,1
USD,2013-06-29,,,,32.709,,,1
USD,2013-07-02,,,,32.8517,,,1
USD,2013-07-03,,,,32.9475,,,1
USD,2013-07-04,,,,33.2204,,,1
USD,2013-07-05,,,,33.1605,,,1
USD,2013-07-06,,,,33.2247,,,1
USD,2013-07-09,,,,33.321,,,1
USD,2013-07-10,,,,33.0842,,,1
USD,2013-07-11,,,,32.9112,,,1
USD,2013-07-12,,,,32.5867,,,1
USD,2013-07-13,,,,32.6429,,,1
USD,2013-07-16,,,,32.622,,,1
USD,2013-07-17,,,,32.5417,,,1
USD,2013-07-18,,,,32.4526,,,1
USD,2013-07-19,,,,32.3998,,,1
USD,2013-07-20,,,,32.4288,,,1
USD,2013-07-23,,,,32.3236,,,1
USD,2013-07-24,,,,32.3106,,,1
USD,2013-07-25,,,,32.3462,,,1
USD,2013-07-26,,,,32.5376,,,1
USD,2013-07-27,,,,32.6371,,,1
USD,2013-07-30,,,,32.8556,,,1
USD,2013-07-31,,,,32.8901,,,1
USD,2013-08-01,,,,33.033,,,1
USD,2013-08-02,,,,32.9741,,,1
USD,2013-08-03,,,,33.0978,,,1
USD,2013-08-06,,,,32.8811,,,1
USD,2013-08-07,,,,32.939,,,1
USD,2013-08-08,,,,32.9848,,,1
USD,2013-08-09,,,,32.9401,,,1
USD,2013-08-10,,,,32.8606,,,1
USD,2013-08-13,,,,32.891,,,1
USD,2013-08-14,,,,33.0426,,,1
USD,2013-08-15,,,,33.1583,,,1
USD,2013-08-16,,,,33.0004,,,1
USD,2013-08-17,,,,32.9421,,,1
USD,2013-08-20,,,,32.9226,,,1
USD,2013-08-21,,,,33.0006,,,1
USD,2013-08-22,,,,32.9737,,,1
USD,2013-08-23,,,,33.1908,,,1
USD,2013-08-24,,,,33.0552,,,1
USD,2013-08-27,,,,32.9564,,,1
USD,2013-08-28,,,,33.1224,,,1
USD,2013-08-29,,,,33.1798,,,1
USD,2013-08-30,,,,33.1783,,,1
USD,2013-08-31,,,,33.2474,,,1
USD,2013-09-03,,,,33.2522,,,1
USD,2013-09-04,,,,33.3693,,,1
USD,2013-09-05,,,,33.4656,,,1
USD,2013-09-06,,,,33.3901,,,1
USD,2013-09-07,,,,33.4338,,,1
USD,2013-09-10,,,,33.3243,,,1
USD,2013-09-11,,,,33.06,,,1
USD,2013-09-12,,,,32.9629,,,1
USD,2013-09-13,,,,32.6731,,,1
USD,2013-09-14,,,,32.7406,,,1
USD,2013-09-17,,,,32.2907,,,1
USD,2013-09-18,,,,32.3237,,,1
USD,2013-09-19,,,,32.245,,,1
USD,2013-09-20,,,,31.5892,,,1
USD,2013-09-21,,,,31.7326,,,1
USD,2013-09-24,,,,31.9106,,,1
USD,2013-09-25,,,,31.8167,,,1
USD,2013-09-26,,,,31.9343,,,1
USD,2013-09-27,,,,32.1736,,,1
USD,2013-09-28,,,,32.3451,,,1
USD,2013-10-01,,,,32.4839,,,1
USD,2013-10-02,,,,32.2965,,,1
USD,2013-10-03,,,,32.2979,,,1
USD,2013-10-04,,,,32.125,,,1
USD,2013-10-05,,,,32.1005,,,1
USD,2013-10-08,,,,32.2931,,,1
USD,2013-10-09,,,,32.2984,,,1
USD,2013-10-10,,,,32.3619,,,1
USD,2013-10-11,,,,32.3564,,,1
USD,2013-10-12,,,,32.2133,,,1
USD,2013-10-15,,,,32.2663,,,1
USD,2013-10-16,,,,32.2676,,,1
USD,2013-10-17,,,,32.2561,,,1
USD,2013-10-18,,,,32.0816,,,1
USD,2013-10-19,,,,31.846,,,1
USD,2013-10-22,,,,31.9013,,,1
USD,2013-10-23,,,,31.9346,,,1
USD,2013-10-24,,,,31.7448,,,1
USD,2013-10-25,,,,31.6618,,,1
USD,2013-10-26,,,,31.6775,,,1
USD,2013-10-29,,,,31.8119,,,1
USD,2013-10-30,,,,31.9445,,,1
